Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2797.70355765895,2151.78351786335,1960.94592543484,..
Albania,ALB,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5006.87092334291,5515.14923769073,6231.20342058215,6754.12461217667,7400.17573185505,7706.64249313803,8175.4726845875,8637.70539466002,9129.18211713778,9815.71748027282,10467.1295733912,11094.0494826271,11306.359110404,11851.974177132,12312.5400113574,12412.3373275261,12865.2549380716,13019.6714435076,13381.1968021825,13902.7193666726,14256.3610728209,14813.7759002636,15013.374196781,14553.6355886039,16035.4357566178,..,..
Algeria,DZA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11297.3242830373,10715.8476848674,10793.850625434,10433.9365120463,10069.7381344431,10168.7159747325,10389.7156145797,10406.5816695906,10820.0142087243,10962.5570578755,11116.2979691945,11523.3001356097,11895.0466908079,12508.35875066,12811.3086931704,13215.842415717,13470.0140423375,14026.5717664718,14208.6061745014,14125.039750798,14631.2845420361,14667.530756622,14699.5724134962,14678.7499757391,14946.7606614865,15117.0001269778,15618.6303611341,15465.5214002231,15227.3417328682,15105.2906774311,14166.8215967026,14403.6127683874,14581.902883636,15114.1717492439
American Samoa,ASM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,63287.398904084,..,..
Angola,AGO,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5902.8740860746,5932.52073633164,6240.36788109627,6823.31046256577,7180.04740521989,8052.43005054493,8222.32024913765,8870.64230976897,8754.55918888435,8707.88201953952,9194.23007185349,9423.77181129179,9694.49903168271,9611.67272969638,9011.13603341968,8581.22345883167,8000.92584454409,7462.89075869041,6980.71543318938,6806.26114023381,6836.10630472822,6631.27654363772
Antigua and Barbuda,ATG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24617.2563087816,..,..
Argentina,ARG,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,16405.5375739698,17856.9097769201,19221.2732833661,20647.8112007597,21524.6494268345,20563.5138175276,21380.677130512,22816.7307666968,23342.4651353108,22262.9182476108,21829.0053881322,20594.248546868,17684.0285798469,19287.8630193766,19297.1914856493,20754.8302032406,24187.4816637165,26278.0120576362,27101.6222370678,25086.7640427722,27445.6041104648,28905.5747203803,28438.5799188789,28870.6439923256,27871.6272816247,28379.7341398354,27396.4928604695,27761.5329850823,26467.4890093112,25601.2538114202,23151.5835359781,25560.6402231085,26607.2966069349,25876.0530718253
Armenia,ARM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3178.75784707821,3558.51311217476,3799.74455418487,4086.68676125344,4300.86380067259,4485.50065793333,4802.74028893083,5316.95217904859,6103.54737846711,7003.07137876963,7843.12102574786,8993.02094478897,10300.3111051722,11884.7345847658,12864.934357833,10899.3814197998,11291.9250603415,11737.1894193786,12717.0212140092,13450.6272108682,13772.7225893714,14197.79787412,14064.6803698463,15364.4420469656,15968.6720749276,17229.672466696,15639.591632661,16404.2864519314,18272.8299589722,20220.7231948637
Aruba,ABW,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,37069.0014840027,..,..
