"Indicator Name","Indicator Code","Country Name","Country Code","Year","Value","Disaggregation"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2016","9.097","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2015","9.023","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2014","9.075","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2013","9.021","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2012","8.904","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2011","8.801","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2010","8.727","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2009","8.655","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2008","8.533","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2007","8.137","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2006","7.838","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2005","7.537","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2004","7.215","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2003","6.960","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2002","6.672","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2001","6.467","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","2000","6.255","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1999","6.120","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1998","6.080","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1997","5.979","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1996","5.817","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1995","5.885","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1994","5.816","female"
"Expected years of schooling, female","SE.SCH.LIFE.FE","Africa Eastern and Southern","AFE","1993","5.844","female"
